==4182== NVPROF is profiling process 4182, command: ./odd_even_mergesort_profiling.out
==4182== Warning: Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==4182== Profiling application: ./odd_even_mergesort_profiling.out
==4182== Profiling result:
==4182== Metric result:
"Device","Kernel","Invocations","Metric Name","Metric Description","Min","Max","Avg"
"Tesla K40m (0)","oddEvenSortOdd(int*, int, int, int)",16,"sm_efficiency","Multiprocessor Activity",22.271669%,40.262177%,28.827571%
"Tesla K40m (0)","oddEvenSortOdd(int*, int, int, int)",16,"shared_efficiency","Shared Memory Efficiency",0.000000%,0.000000%,0.000000%
"Tesla K40m (0)","oddEvenSortOdd(int*, int, int, int)",16,"gld_efficiency","Global Memory Load Efficiency",50.000000%,100.000000%,90.625000%
"Tesla K40m (0)","oddEvenSortOdd(int*, int, int, int)",16,"gst_efficiency","Global Memory Store Efficiency",26.420417%,93.322352%,66.996533%
"Tesla K40m (0)","oddEvenSortOdd(int*, int, int, int)",16,"l2_l1_read_hit_rate","L2 Hit Rate (L1 Reads)",100.000000%,100.000000%,100.000000%
"Tesla K40m (0)","oddEvenSortOdd(int*, int, int, int)",16,"warp_execution_efficiency","Warp Execution Efficiency",99.933924%,100.000000%,99.968330%
"Tesla K40m (0)","oddEvenSortOdd(int*, int, int, int)",16,"inst_per_warp","Instructions per warp",30.020508,51.000000,48.390381
"Tesla K40m (0)","oddEvenSortOdd(int*, int, int, int)",16,"shared_load_transactions","Shared Load Transactions",0,0,0
"Tesla K40m (0)","oddEvenSortOdd(int*, int, int, int)",16,"shared_store_transactions","Shared Store Transactions",0,0,0
"Tesla K40m (0)","oddEvenSortOdd(int*, int, int, int)",16,"gld_transactions","Global Load Transactions",2048,4096,2688
"Tesla K40m (0)","oddEvenSortOdd(int*, int, int, int)",16,"gst_transactions","Global Store Transactions",164,4096,2103
"Tesla K40m (0)","oddEvenSortOdd(int*, int, int, int)",16,"l1_shared_utilization","L1/Shared Memory Utilization","Low (1)","Low (1)","Low (1)"
"Tesla K40m (0)","oddEvenSortOdd(int*, int, int, int)",16,"l2_utilization","L2 Cache Utilization","Low (1)","Low (2)","Low (1)"
"Tesla K40m (0)","oddEvenSortOdd(int*, int, int, int)",16,"dram_utilization","Device Memory Utilization","Low (1)","Low (2)","Low (1)"
"Tesla K40m (0)","oddEvenSortOdd(int*, int, int, int)",16,"alu_fu_utilization","Arithmetic Function Unit Utilization","Low (3)","Mid (5)","Mid (4)"
"Tesla K40m (0)","oddEvenSortOdd(int*, int, int, int)",16,"cf_executed","Executed Control-Flow Instructions",4096,4096,4096
"Tesla K40m (0)","oddEvenSortOdd(int*, int, int, int)",16,"ldst_executed","Executed Load/Store Instructions",4096,4096,4096
"Tesla K40m (0)","oddEvenSortOdd(int*, int, int, int)",16,"inst_executed","Instructions Executed",30741,52224,49551
"Tesla K40m (0)","oddEvenSortOdd(int*, int, int, int)",16,"issue_slots","Issue Slots",32239,57953,50974
"Tesla K40m (0)","oddEvenSortOdd(int*, int, int, int)",16,"inst_fp_32","FP Instructions(Single)",1,32768,28673
"Tesla K40m (0)","oddEvenSortOdd(int*, int, int, int)",16,"inst_integer","Integer Instructions",458764,884735,806923
