==4150== NVPROF is profiling process 4150, command: ./odd_even_mergesort_profiling.out
==4150== Warning: Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==4150== Profiling application: ./odd_even_mergesort_profiling.out
==4150== Profiling result:
==4150== Metric result:
"Device","Kernel","Invocations","Metric Name","Metric Description","Min","Max","Avg"
"Tesla K40m (0)","oddEvenSortOdd(int*, int, int, int)",14,"sm_efficiency","Multiprocessor Activity",12.910253%,17.655232%,15.019917%
"Tesla K40m (0)","oddEvenSortOdd(int*, int, int, int)",14,"shared_efficiency","Shared Memory Efficiency",0.000000%,0.000000%,0.000000%
"Tesla K40m (0)","oddEvenSortOdd(int*, int, int, int)",14,"gld_efficiency","Global Memory Load Efficiency",50.000000%,100.000000%,89.285714%
"Tesla K40m (0)","oddEvenSortOdd(int*, int, int, int)",14,"gst_efficiency","Global Memory Store Efficiency",26.521061%,89.914992%,61.906470%
"Tesla K40m (0)","oddEvenSortOdd(int*, int, int, int)",14,"l2_l1_read_hit_rate","L2 Hit Rate (L1 Reads)",100.000000%,100.000000%,100.000000%
"Tesla K40m (0)","oddEvenSortOdd(int*, int, int, int)",14,"warp_execution_efficiency","Warp Execution Efficiency",99.735424%,100.000000%,99.877632%
"Tesla K40m (0)","oddEvenSortOdd(int*, int, int, int)",14,"inst_per_warp","Instructions per warp",30.082031,51.000000,48.058594
"Tesla K40m (0)","oddEvenSortOdd(int*, int, int, int)",14,"shared_load_transactions","Shared Load Transactions",0,0,0
"Tesla K40m (0)","oddEvenSortOdd(int*, int, int, int)",14,"shared_store_transactions","Shared Store Transactions",0,0,0
"Tesla K40m (0)","oddEvenSortOdd(int*, int, int, int)",14,"gld_transactions","Global Load Transactions",512,1024,694
"Tesla K40m (0)","oddEvenSortOdd(int*, int, int, int)",14,"gst_transactions","Global Store Transactions",170,1024,579
"Tesla K40m (0)","oddEvenSortOdd(int*, int, int, int)",14,"l1_shared_utilization","L1/Shared Memory Utilization","Low (1)","Low (1)","Low (1)"
"Tesla K40m (0)","oddEvenSortOdd(int*, int, int, int)",14,"l2_utilization","L2 Cache Utilization","Low (1)","Low (1)","Low (1)"
"Tesla K40m (0)","oddEvenSortOdd(int*, int, int, int)",14,"dram_utilization","Device Memory Utilization","Low (1)","Low (1)","Low (1)"
"Tesla K40m (0)","oddEvenSortOdd(int*, int, int, int)",14,"alu_fu_utilization","Arithmetic Function Unit Utilization","Low (3)","Low (3)","Low (3)"
"Tesla K40m (0)","oddEvenSortOdd(int*, int, int, int)",14,"cf_executed","Executed Control-Flow Instructions",1024,1024,1024
"Tesla K40m (0)","oddEvenSortOdd(int*, int, int, int)",14,"ldst_executed","Executed Load/Store Instructions",1024,1024,1024
"Tesla K40m (0)","oddEvenSortOdd(int*, int, int, int)",14,"inst_executed","Instructions Executed",7701,13056,12303
"Tesla K40m (0)","oddEvenSortOdd(int*, int, int, int)",14,"issue_slots","Issue Slots",7986,14276,12635
"Tesla K40m (0)","oddEvenSortOdd(int*, int, int, int)",14,"inst_fp_32","FP Instructions(Single)",1,8192,7022
"Tesla K40m (0)","oddEvenSortOdd(int*, int, int, int)",14,"inst_integer","Integer Instructions",114700,221183,200130
"Tesla K40m (0)","oddEvenSortOdd(int*, int, int, int)",14,"inst_bit_convert","Bit-Convert Instructions",5,40960,35113
"Tesla K40m (0)","oddEvenSortOdd(int*, int, int, int)",14,"inst_control","Control-Flow Instructions",8192,8192,8192
"Tesla K40m (0)","oddEvenSortOdd(int*, int, int, int)",14,"inst_compute_ld_st","Load/Store Instructions",18000,25692,23311
"Tesla K40m (0)","oddEvenSortOdd(int*, int, int, int)",14,"inst_misc","Misc Instructions",65536,73727,66705
"Tesla K40m (0)","oddEvenSortEven(int*, int, int, int, int, int)",91,"sm_efficiency","Multiprocessor Activity",8.626676%,20.643747%,16.393527%
"Tesla K40m (0)","oddEvenSortEven(int*, int, int, int, int, int)",91,"shared_efficiency","Shared Memory Efficiency",0.000000%,0.000000%,0.000000%
"Tesla K40m (0)","oddEvenSortEven(int*, int, int, int, int, int)",91,"gld_efficiency","Global Memory Load Efficiency",25.000000%,100.000000%,78.305645%
"Tesla K40m (0)","oddEvenSortEven(int*, int, int, int, int, int)",91,"gst_efficiency","Global Memory Store Efficiency",12.500000%,100.000000%,61.895383%
"Tesla K40m (0)","oddEvenSortEven(int*, int, int, int, int, int)",91,"l2_l1_read_hit_rate","L2 Hit Rate (L1 Reads)",100.000000%,100.000000%,100.000000%
"Tesla K40m (0)","oddEvenSortEven(int*, int, int, int, int, int)",91,"warp_execution_efficiency","Warp Execution Efficiency",99.762926%,99.987117%,99.922047%
"Tesla K40m (0)","oddEvenSortEven(int*, int, int, int, int, int)",91,"inst_per_warp","Instructions per warp",91.316406,97.007812,95.895328
"Tesla K40m (0)","oddEvenSortEven(int*, int, int, int, int, int)",91,"shared_load_transactions","Shared Load Transactions",0,0,0
"Tesla K40m (0)","oddEvenSortEven(int*, int, int, int, int, int)",91,"shared_store_transactions","Shared Store Transactions",0,0,0
"Tesla K40m (0)","oddEvenSortEven(int*, int, int, int, int, int)",91,"gld_transactions","Global Load Transactions",256,1503,934
"Tesla K40m (0)","oddEvenSortEven(int*, int, int, int, int, int)",91,"gst_transactions","Global Store Transactions",62,1388,587
"Tesla K40m (0)","oddEvenSortEven(int*, int, int, int, int, int)",91,"l1_shared_utilization","L1/Shared Memory Utilization","Low (1)","Low (1)","Low (1)"
"Tesla K40m (0)","oddEvenSortEven(int*, int, int, int, int, int)",91,"l2_utilization","L2 Cache Utilization","Low (1)","Low (1)","Low (1)"
"Tesla K40m (0)","oddEvenSortEven(int*, int, int, int, int, int)",91,"dram_utilization","Device Memory Utilization","Low (1)","Low (1)","Low (1)"
"Tesla K40m (0)","oddEvenSortEven(int*, int, int, int, int, int)",91,"alu_fu_utilization","Arithmetic Function Unit Utilization","Low (3)","Mid (5)","Mid (4)"
"Tesla K40m (0)","oddEvenSortEven(int*, int, int, int, int, int)",91,"cf_executed","Executed Control-Flow Instructions",512,1024,892
"Tesla K40m (0)","oddEvenSortEven(int*, int, int, int, int, int)",91,"ldst_executed","Executed Load/Store Instructions",512,1024,889
"Tesla K40m (0)","oddEvenSortEven(int*, int, int, int, int, int)",91,"inst_executed","Instructions Executed",12417,24833,21581
"Tesla K40m (0)","oddEvenSortEven(int*, int, int, int, int, int)",91,"issue_slots","Issue Slots",10750,24171,19858
"Tesla K40m (0)","oddEvenSortEven(int*, int, int, int, int, int)",91,"inst_fp_32","FP Instructions(Single)",12249,24570,21320
"Tesla K40m (0)","oddEvenSortEven(int*, int, int, int, int, int)",91,"inst_integer","Integer Instructions",208389,425894,365042
"Tesla K40m (0)","oddEvenSortEven(int*, int, int, int, int, int)",91,"inst_bit_convert","Bit-Convert Instructions",61245,122850,106600
"Tesla K40m (0)","oddEvenSortEven(int*, int, int, int, int, int)",91,"inst_control","Control-Flow Instructions",8179,16382,14319
"Tesla K40m (0)","oddEvenSortEven(int*, int, int, int, int, int)",91,"inst_compute_ld_st","Load/Store Instructions",13516,24064,19830
"Tesla K40m (0)","oddEvenSortEven(int*, int, int, int, int, int)",91,"inst_misc","Misc Instructions",40921,81910,71406
