==60022== NVPROF is profiling process 60022, command: ./bitonic_dda_profiling.out
==60022== Warning: Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==60022== Profiling application: ./bitonic_dda_profiling.out
==60022== Profiling result:
==60022== Metric result:
"Device","Kernel","Invocations","Metric Name","Metric Description","Min","Max","Avg"
"Tesla K40m (0)","bitonicSortDDA(int*, int*, int, int, int, int)",22,"sm_efficiency","Multiprocessor Activity",60.477503%,80.410577%,67.403720%
"Tesla K40m (0)","bitonicSortDDA(int*, int*, int, int, int, int)",22,"shared_efficiency","Shared Memory Efficiency",49.977885%,50.000000%,49.996555%
"Tesla K40m (0)","bitonicSortDDA(int*, int*, int, int, int, int)",22,"gld_efficiency","Global Memory Load Efficiency",100.000000%,100.000000%,100.000000%
"Tesla K40m (0)","bitonicSortDDA(int*, int*, int, int, int, int)",22,"gst_efficiency","Global Memory Store Efficiency",100.000000%,100.000000%,100.000000%
"Tesla K40m (0)","bitonicSortDDA(int*, int*, int, int, int, int)",22,"l2_l1_read_hit_rate","L2 Hit Rate (L1 Reads)",100.000000%,100.000000%,100.000000%
"Tesla K40m (0)","bitonicSortDDA(int*, int*, int, int, int, int)",22,"warp_execution_efficiency","Warp Execution Efficiency",100.000000%,100.000000%,100.000000%
"Tesla K40m (0)","bitonicSortDDA(int*, int*, int, int, int, int)",22,"inst_per_warp","Instructions per warp",154.000000,2916.000000,445.454545
"Tesla K40m (0)","bitonicSortDDA(int*, int*, int, int, int, int)",22,"shared_load_transactions","Shared Load Transactions",2048,223232,23272
"Tesla K40m (0)","bitonicSortDDA(int*, int*, int, int, int, int)",22,"shared_store_transactions","Shared Store Transactions",2048,112647,12664
"Tesla K40m (0)","bitonicSortDDA(int*, int*, int, int, int, int)",22,"gld_transactions","Global Load Transactions",4096,4096,4096
"Tesla K40m (0)","bitonicSortDDA(int*, int*, int, int, int, int)",22,"gst_transactions","Global Store Transactions",2048,2048,2048
"Tesla K40m (0)","bitonicSortDDA(int*, int*, int, int, int, int)",22,"l1_shared_utilization","L1/Shared Memory Utilization","Low (1)","Low (2)","Low (1)"
"Tesla K40m (0)","bitonicSortDDA(int*, int*, int, int, int, int)",22,"l2_utilization","L2 Cache Utilization","Low (1)","Low (1)","Low (1)"
"Tesla K40m (0)","bitonicSortDDA(int*, int*, int, int, int, int)",22,"dram_utilization","Device Memory Utilization","Low (1)","Low (1)","Low (1)"
"Tesla K40m (0)","bitonicSortDDA(int*, int*, int, int, int, int)",22,"alu_fu_utilization","Arithmetic Function Unit Utilization","Mid (6)","High (8)","High (7)"
"Tesla K40m (0)","bitonicSortDDA(int*, int*, int, int, int, int)",22,"cf_executed","Executed Control-Flow Instructions",36864,1064960,144011
"Tesla K40m (0)","bitonicSortDDA(int*, int*, int, int, int, int)",22,"ldst_executed","Executed Load/Store Instructions",10240,342016,42077
"Tesla K40m (0)","bitonicSortDDA(int*, int*, int, int, int, int)",22,"inst_executed","Instructions Executed",315392,5971968,912290
"Tesla K40m (0)","bitonicSortDDA(int*, int*, int, int, int, int)",22,"issue_slots","Issue Slots",222416,4852967,701444
"Tesla K40m (0)","bitonicSortDDA(int*, int*, int, int, int, int)",22,"inst_fp_32","FP Instructions(Single)",0,65536,20852
"Tesla K40m (0)","bitonicSortDDA(int*, int*, int, int, int, int)",22,"inst_integer","Integer Instructions",6815744,110038346,17951232
"Tesla K40m (0)","bitonicSortDDA(int*, int*, int, int, int, int)",22,"inst_bit_convert","Bit-Convert Instructions",0,196608,62557
"Tesla K40m (0)","bitonicSortDDA(int*, int*, int, int, int, int)",22,"inst_control","Control-Flow Instructions",917504,13631488,2320570
"Tesla K40m (0)","bitonicSortDDA(int*, int*, int, int, int, int)",22,"inst_compute_ld_st","Load/Store Instructions",327680,10944512,1346466
"Tesla K40m (0)","bitonicSortDDA(int*, int*, int, int, int, int)",22,"inst_misc","Misc Instructions",1769472,32243712,4864558
