==16297== NVPROF is profiling process 16297, command: ./oddeven_transp_profiling.out
==16297== Warning: Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==16297== Profiling application: ./oddeven_transp_profiling.out
==16297== Profiling result:
==16297== Metric result:
"Device","Kernel","Invocations","Metric Name","Metric Description","Min","Max","Avg"
"Tesla K40m (0)","oddEven_transp_odd(int*, int)",8192,"sm_efficiency","Multiprocessor Activity",11.531089%,17.588323%,16.013076%
"Tesla K40m (0)","oddEven_transp_odd(int*, int)",8192,"shared_efficiency","Shared Memory Efficiency",0.000000%,0.000000%,0.000000%
"Tesla K40m (0)","oddEven_transp_odd(int*, int)",8192,"gld_efficiency","Global Memory Load Efficiency",50.000000%,50.000000%,50.000000%
"Tesla K40m (0)","oddEven_transp_odd(int*, int)",8192,"gst_efficiency","Global Memory Store Efficiency",0.000000%,49.779843%,32.345776%
"Tesla K40m (0)","oddEven_transp_odd(int*, int)",8192,"l2_l1_read_hit_rate","L2 Hit Rate (L1 Reads)",100.000000%,100.000000%,100.000000%
"Tesla K40m (0)","oddEven_transp_odd(int*, int)",8192,"warp_execution_efficiency","Warp Execution Efficiency",100.000000%,100.000000%,100.000000%
"Tesla K40m (0)","oddEven_transp_odd(int*, int)",8192,"inst_per_warp","Instructions per warp",38.000000,38.000000,38.000000
"Tesla K40m (0)","oddEven_transp_odd(int*, int)",8192,"shared_load_transactions","Shared Load Transactions",0,0,0
"Tesla K40m (0)","oddEven_transp_odd(int*, int)",8192,"shared_store_transactions","Shared Store Transactions",0,0,0
"Tesla K40m (0)","oddEven_transp_odd(int*, int)",8192,"gld_transactions","Global Load Transactions",1024,1024,1024
"Tesla K40m (0)","oddEven_transp_odd(int*, int)",8192,"gst_transactions","Global Store Transactions",0,1024,732
"Tesla K40m (0)","oddEven_transp_odd(int*, int)",8192,"l1_shared_utilization","L1/Shared Memory Utilization","Low (1)","Low (1)","Low (1)"
"Tesla K40m (0)","oddEven_transp_odd(int*, int)",8192,"l2_utilization","L2 Cache Utilization","Low (1)","Low (1)","Low (1)"
"Tesla K40m (0)","oddEven_transp_odd(int*, int)",8192,"dram_utilization","Device Memory Utilization","Idle (0)","Low (2)","Low (1)"
"Tesla K40m (0)","oddEven_transp_odd(int*, int)",8192,"alu_fu_utilization","Arithmetic Function Unit Utilization","Low (3)","Low (3)","Low (3)"
"Tesla K40m (0)","oddEven_transp_odd(int*, int)",8192,"cf_executed","Executed Control-Flow Instructions",512,512,512
"Tesla K40m (0)","oddEven_transp_odd(int*, int)",8192,"ldst_executed","Executed Load/Store Instructions",1024,1024,1024
"Tesla K40m (0)","oddEven_transp_odd(int*, int)",8192,"inst_executed","Instructions Executed",9728,9728,9728
"Tesla K40m (0)","oddEven_transp_odd(int*, int)",8192,"issue_slots","Issue Slots",10862,12817,11480
"Tesla K40m (0)","oddEven_transp_odd(int*, int)",8192,"inst_fp_32","FP Instructions(Single)",8192,8192,8192
"Tesla K40m (0)","oddEven_transp_odd(int*, int)",8192,"inst_integer","Integer Instructions",163840,163840,163840
"Tesla K40m (0)","oddEven_transp_odd(int*, int)",8192,"inst_bit_convert","Bit-Convert Instructions",24576,24576,24576
"Tesla K40m (0)","oddEven_transp_odd(int*, int)",8192,"inst_control","Control-Flow Instructions",8192,8192,8192
"Tesla K40m (0)","oddEven_transp_odd(int*, int)",8192,"inst_compute_ld_st","Load/Store Instructions",16384,32668,24515
"Tesla K40m (0)","oddEven_transp_odd(int*, int)",8192,"inst_misc","Misc Instructions",57344,57344,57344
"Tesla K40m (0)","oddEven_transp_even(int*, int)",8192,"sm_efficiency","Multiprocessor Activity",10.553256%,18.204162%,16.221145%
"Tesla K40m (0)","oddEven_transp_even(int*, int)",8192,"shared_efficiency","Shared Memory Efficiency",0.000000%,0.000000%,0.000000%
"Tesla K40m (0)","oddEven_transp_even(int*, int)",8192,"gld_efficiency","Global Memory Load Efficiency",47.063893%,47.063893%,47.063893%
"Tesla K40m (0)","oddEven_transp_even(int*, int)",8192,"gst_efficiency","Global Memory Store Efficiency",0.000000%,46.877161%,31.025891%
"Tesla K40m (0)","oddEven_transp_even(int*, int)",8192,"l2_l1_read_hit_rate","L2 Hit Rate (L1 Reads)",100.000000%,100.000000%,100.000000%
"Tesla K40m (0)","oddEven_transp_even(int*, int)",8192,"warp_execution_efficiency","Warp Execution Efficiency",99.990610%,99.991236%,99.990916%
"Tesla K40m (0)","oddEven_transp_even(int*, int)",8192,"inst_per_warp","Instructions per warp",39.000000,39.000000,39.000000
"Tesla K40m (0)","oddEven_transp_even(int*, int)",8192,"shared_load_transactions","Shared Load Transactions",0,0,0
"Tesla K40m (0)","oddEven_transp_even(int*, int)",8192,"shared_store_transactions","Shared Store Transactions",0,0,0
"Tesla K40m (0)","oddEven_transp_even(int*, int)",8192,"gld_transactions","Global Load Transactions",1279,1279,1279
"Tesla K40m (0)","oddEven_transp_even(int*, int)",8192,"gst_transactions","Global Store Transactions",0,1279,858
"Tesla K40m (0)","oddEven_transp_even(int*, int)",8192,"l1_shared_utilization","L1/Shared Memory Utilization","Low (1)","Low (1)","Low (1)"
"Tesla K40m (0)","oddEven_transp_even(int*, int)",8192,"l2_utilization","L2 Cache Utilization","Low (1)","Low (1)","Low (1)"
"Tesla K40m (0)","oddEven_transp_even(int*, int)",8192,"dram_utilization","Device Memory Utilization","Idle (0)","Low (2)","Low (1)"
"Tesla K40m (0)","oddEven_transp_even(int*, int)",8192,"alu_fu_utilization","Arithmetic Function Unit Utilization","Low (2)","Low (3)","Low (2)"
"Tesla K40m (0)","oddEven_transp_even(int*, int)",8192,"cf_executed","Executed Control-Flow Instructions",512,512,512
"Tesla K40m (0)","oddEven_transp_even(int*, int)",8192,"ldst_executed","Executed Load/Store Instructions",1024,1024,1024
"Tesla K40m (0)","oddEven_transp_even(int*, int)",8192,"inst_executed","Instructions Executed",9984,9984,9984
"Tesla K40m (0)","oddEven_transp_even(int*, int)",8192,"issue_slots","Issue Slots",11293,13714,12115
"Tesla K40m (0)","oddEven_transp_even(int*, int)",8192,"inst_fp_32","FP Instructions(Single)",8191,8191,8191
"Tesla K40m (0)","oddEven_transp_even(int*, int)",8192,"inst_integer","Integer Instructions",172016,172016,172016
"Tesla K40m (0)","oddEven_transp_even(int*, int)",8192,"inst_bit_convert","Bit-Convert Instructions",24573,24573,24573
"Tesla K40m (0)","oddEven_transp_even(int*, int)",8192,"inst_control","Control-Flow Instructions",8192,8192,8192
"Tesla K40m (0)","oddEven_transp_even(int*, int)",8192,"inst_compute_ld_st","Load/Store Instructions",16382,32664,24513
"Tesla K40m (0)","oddEven_transp_even(int*, int)",8192,"inst_misc","Misc Instructions",57341,57341,57341
